os_version,storage_device_count,storage_devices,cpu_percent,ram_total,ram_used,ram_percent,disk_read_bytes,disk_write_bytes,timestamp,hostname,os_type,total_power,cpu_power,ram_power,disk_base_power,disk_io_power,total_co2,cpu_co2,ram_co2,disk_base_co2,disk_io_co2,co2_factor,region
Ubuntu 24.04.1 LTS (Noble Numbat),2,"sda 931.5G
sdb 931.5G",11.5,11.599357604980469,6.752388000488281,58.2135,34137088.0,0.0,2025-02-10 12:27:26,192.168.1.15,Linux,74.45944152862225,20.35,5.505524893306732,16,2.73096704,5.88293990786686e-06,2.685069444444444e-06,7.26423423422416e-07,2.111111111111111e-06,3.603359288888888e-07,0.475,global
Ubuntu 24.04.1 LTS (Noble Numbat),2,"sda 931.5G
sdb 931.5G",22.7,11.599357604980469,6.739360809326172,58.1012,34137088.0,0.0,2025-02-10 12:27:28,192.168.1.15,Linux,91.28651546324845,30.43,5.5016170697296145,16,2.73096704,7.21242429225599e-06,4.015069444444444e-06,7.259078078115462e-07,2.111111111111111e-06,3.603359288888888e-07,0.475,global
Ubuntu 24.04.1 LTS (Noble Numbat),2,"sda 931.5G
sdb 931.5G",18.2,11.599357604980469,6.723388671875,57.9635,34137088.0,0.0,2025-02-10 12:27:30,192.168.1.15,Linux,84.515013333222,26.38,5.496825375102997,16,2.73096704,6.677417054770533e-06,3.480694444444444e-06,7.252755703260898e-07,2.111111111111111e-06,3.603359288888888e-07,0.475,global
Ubuntu 24.04.1 LTS (Noble Numbat),2,"sda 931.5G
sdb 931.5G",26.1,11.599357604980469,6.7192535400390625,57.9278,34137088.0,0.0,2025-02-10 12:27:32,192.168.1.15,Linux,96.38663870691884,33.489999999999995,5.495583083903503,16,2.73096704,7.615378141348376e-06,4.418819444444443e-06,7.251116569039343e-07,2.111111111111111e-06,3.603359288888888e-07,0.475,global
Ubuntu 24.04.1 LTS (Noble Numbat),2,"sda 931.5G
sdb 931.5G",18.2,11.599357604980469,6.7180633544921875,57.9175,34137088.0,0.0,2025-02-10 12:27:33,192.168.1.15,Linux,84.51234014526835,26.38,5.495224663753509,16,2.73096704,6.677205849800809e-06,3.480694444444444e-06,7.250643653563658e-07,2.111111111111111e-06,3.603359288888888e-07,0.475,global
Ubuntu 24.04.1 LTS (Noble Numbat),2,"sda 931.5G
sdb 931.5G",13.6,11.599357604980469,6.716533660888672,57.9044,34137088.0,0.0,2025-02-10 12:27:35,192.168.1.15,Linux,77.59777886782939,22.240000000000002,5.494768808999634,16,2.73096704,6.130895702298562e-06,2.934444444444444e-06,7.250042178541183e-07,2.111111111111111e-06,3.603359288888888e-07,0.475,global
Ubuntu 24.04.1 LTS (Noble Numbat),2,"sda 931.5G
sdb 931.5G",9.1,11.599357604980469,6.715476989746094,57.8952,34137088.0,0.0,2025-02-10 12:27:37,192.168.1.15,Linux,70.83374423023866,18.189999999999998,5.4944486667297365,16,2.73096704,5.596478461304616e-06,2.4000694444444435e-06,7.249619768601735e-07,2.111111111111111e-06,3.603359288888888e-07,0.475,global
Ubuntu 24.04.1 LTS (Noble Numbat),2,"sda 931.5G
sdb 931.5G",17.4,11.599357604980469,6.690910339355469,57.6835,34137088.0,0.0,2025-02-10 12:27:39,192.168.1.15,Linux,83.29634175437374,25.659999999999997,5.487081914714814,16,2.73096704,6.581131459302648e-06,3.3856944444444435e-06,7.239899748582045e-07,2.111111111111111e-06,3.603359288888888e-07,0.475,global
Ubuntu 24.04.1 LTS (Noble Numbat),2,"sda 931.5G
sdb 931.5G",13.6,11.599357604980469,6.687938690185547,57.6578,34137088.0,0.0,2025-02-10 12:27:41,192.168.1.15,Linux,77.5834482558866,22.240000000000002,5.486187604243469,16,2.73096704,6.1297634600043455e-06,2.934444444444444e-06,7.238719755599021e-07,2.111111111111111e-06,3.603359288888888e-07,0.475,global
Ubuntu 24.04.1 LTS (Noble Numbat),2,"sda 931.5G
sdb 931.5G",22.7,11.599357604980469,6.687599182128906,57.6549,34137088.0,0.0,2025-02-10 12:27:43,192.168.1.15,Linux,91.26057972881995,30.43,5.486086689832306,16,2.73096704,7.2103751449084285e-06,4.015069444444444e-06,7.238586604639848e-07,2.111111111111111e-06,3.603359288888888e-07,0.475,global
